dir_outdemog,model,likelyhood_cutoff,mutfile,mutation_ctrl_diploid,max_ll_key,ll,nu1,nu2,T,m12,m21,theta,Na
/u/home/c/cdi/project-klohmuel/dog_2408/output_demog/split_asym_mig.AW_LB.26.18.S.2,split_asym_mig,500.0,None,0.27315451588,6484,-10322.767548445974,6.464000202666612,2.52807411930823e-06,1.4809372663771863e-06,1.118755310998215e-06,488.40000904650475,10331.332214252943,18911.150308039607
/u/home/c/cdi/project-klohmuel/dog_2408/output_demog/split_asym_mig.AW_PG.26.28.S.2,split_asym_mig,500.0,None,0.27315451588,3893,-8167.927659621469,3.232000606,1.0745175781453308e-06,1.0640456308094925e-06,1.6150158590861873e-06,646.4000002019999,10415.589261259862,19065.379951169383
/u/home/c/cdi/project-klohmuel/dog_2408/output_demog/split_asym_mig.AW_BC.26.12.S.2,split_asym_mig,500.0,None,0.27315451588,5189,-9210.330321888945,5.559128587247495,1.6095064139012552e-06,9.379558796953035e-07,6.326247306036412e-07,806.8669680566237,10036.505616434912,18371.480303192326
