dir_outdemog,model,mutation_ctrl_diploid,max_ll_key,ll,nu1,nu2,T,m,theta,Na,N1,N2,pop,time
/u/home/c/cdi/project-klohmuel/dog_2408/output_demog/split_mig.AW_LB.26.18.S.3,split_mig,0.273154516,2113,-1116.553494,0.419271329,0.146860139,0.105874437,0.526718528,11114.76324,20345.19401,8530.156531,1252.739974,LB,4308.071923
/u/home/c/cdi/project-klohmuel/dog_2408/output_demog/split_mig.AW_PG.26.28.S.3,split_mig,0.273154516,1089,-1568.646419,0.362004744,0.064663269,0.074795281,0.391782906,11864.42693,21717.42776,7861.811877,508.3704562,PG,3248.722224
/u/home/c/cdi/project-klohmuel/dog_2408/output_demog/split_mig.AW_BC.26.12.S.3,split_mig,0.273154516,2177,-869.295869,0.452313613,0.16556723,0.1179777,0.519688018,10750.29116,19678.04033,8900.645518,1473.655224,BC,4643.139877
